SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1645 E St,Napa,CA,94559,1200000,3,2.5,Napa,1811,5401,2008,5,663,,Active,May-23-2026 01:00 PM,May-23-2026 04:00 PM,https://www.redfin.com/CA/Napa/1645-E-St-94559/home/12186676,BAREIS,326040911,N,Y,38.3035081,-122.299108
MLS Listing,,Single Family Residential,2720 Hilltop Dr,Napa,CA,94558,749000,2,1.0,Westwood,864,,1950,7,867,,Pre On-Market,,,https://www.redfin.com/CA/Napa/2720-Hilltop-Dr-94558/home/12188700,Compass,2098273111629661529,N,Y,38.2931326,-122.3066485
MLS Listing,,Vacant Land,1065 McKenzie Dr,Napa,CA,94559,374999,,,Napa,,9410,,1,,,Active,,,https://www.redfin.com/CA/Napa/1065-McKenzie-Dr-94559/home/201878312,CRMLS,AR26107910,N,Y,38.3075531,-122.2784053
MLS Listing,,Single Family Residential,1550 Yountville Cross Rd,Yountville,CA,94599,1900000,3,2.5,Yountville,2233,19750,1970,1,851,,Active,,,https://www.redfin.com/CA/Yountville/1550-Yountville-Cross-Rd-94599/home/12200570,BAREIS,326043333,N,Y,38.4271455,-122.342352
MLS Listing,,Vacant Land,1038 Johnston St,Napa,CA,94558,100000,,,Napa,,8712,,2,,,Active,,,https://www.redfin.com/CA/Napa/1038-Johnston-St-94558/home/12206304,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41135103,N,Y,38.3040742,-122.3153643
MLS Listing,,Single Family Residential,3545 Oxford St,Napa,CA,94558,719000,3,2.0,Napa,1134,5902,1957,2,634,,Active,,,https://www.redfin.com/CA/Napa/3545-Oxford-St-94558/home/12193278,BAREIS,326043153,N,Y,38.3215228,-122.3160898
MLS Listing,,Single Family Residential,3886 Klamath Way,Napa,CA,94558,895000,3,2.0,Napa,1474,6726,1977,3,607,,Active,,,https://www.redfin.com/CA/Napa/3886-Klamath-Way-94558/home/12204685,BAREIS,326028261,N,Y,38.3296298,-122.3136608
MLS Listing,,Single Family Residential,3614 Jefferson St,Napa,CA,94558,729000,3,,Bel Aire Park,1261,7771,1959,3,578,,Active,,,https://www.redfin.com/CA/Napa/3614-Jefferson-St-94558/home/12185905,BAREIS,326035371,N,Y,38.3274609,-122.3034395
MLS Listing,,Single Family Residential,2973 Sunrise Dr,Napa,CA,94558,599999,3,1.5,Napa,1093,5628,1951,3,549,,Active,,,https://www.redfin.com/CA/Napa/2973-Sunrise-Dr-94558/home/12189067,BAREIS,326042962,N,Y,38.2893823,-122.3117197
MLS Listing,,Multi-Family (5+ Unit),505 - 529 Franklin St,Napa,CA,94559,3500000,,,Napa,,1189884960,1958,3,,,Active,,,https://www.redfin.com/CA/Napa/529-Franklin-St-94559/home/12187765,BAREIS,326042992,N,Y,38.2945852,-122.287555
MLS Listing,,Multi-Family (5+ Unit),270 Brown St,Napa,CA,94559,2400000,,,Napa,,12926,1986,3,,,Active,,,https://www.redfin.com/CA/Napa/270-Brown-St-94559/home/12190751,BAREIS,326042982,N,Y,38.2896143,-122.284469
MLS Listing,,Single Family Residential,960 Capitola Dr,Napa,CA,94559,1498000,4,2.5,Napa,3177,7336,2007,3,472,75,Active,,,https://www.redfin.com/CA/Napa/960-Capitola-Dr-94559/home/17246648,BAREIS,326042057,N,Y,38.2945099,-122.2724206
MLS Listing,,Condo/Co-op,750 William Ct,Napa,CA,94558,449000,1,1.0,Pear Tree Gardens 02,676,697,1988,3,664,300,Active,May-23-2026 12:00 PM,May-23-2026 02:00 PM,https://www.redfin.com/CA/Napa/750-William-Ct-94558/home/12211276,BAREIS,326042365,N,Y,38.321563,-122.288702
MLS Listing,,Vacant Land,2863 Atlas Peak Rd,Napa,CA,94558,1995000,,,Napa,,1832569,,3,,30,Active,,,https://www.redfin.com/CA/Napa/2863-Atlas-Peak-Rd-94558/home/21995443,BAREIS,326042671,N,Y,38.384761,-122.256919
MLS Listing,,Single Family Residential,1504 Meek Ave,Napa,CA,94559,849000,3,2.0,Napa,1490,6726,1940,3,570,,Active,,,https://www.redfin.com/CA/Napa/1504-Meek-Ave-94559/home/12211611,BAREIS,326042086,N,Y,38.3072665,-122.2714814
MLS Listing,,Townhouse,339 Pear Tree Ter Unit E,Napa,CA,94558,785000,3,2.5,Napa,1843,1376,2020,3,426,346,Active,,,https://www.redfin.com/CA/Napa/339-Pear-Tree-Ter-94558/unit-E/home/172772478,BAREIS,326036856,N,Y,38.320896,-122.290977
MLS Listing,,Single Family Residential,2047 Kathleen Dr,Napa,CA,94558,594000,2,1.0,Napa,840,6277,1952,3,707,,Active,,,https://www.redfin.com/CA/Napa/2047-Kathleen-Dr-94558/home/12207939,BAREIS,326041772,N,Y,38.3168503,-122.3098077
MLS Listing,,Townhouse,3204 Villa Ln,Napa,CA,94558,705000,2,2.5,Park Villa Townhomes,1216,1586,1992,4,580,380,Active,,,https://www.redfin.com/CA/Napa/3204-Villa-Ln-94558/home/12211328,BAREIS,326042034,N,Y,38.3220448,-122.2923627
MLS Listing,,Single Family Residential,2001 Marin St,Napa,CA,94559,845000,2,1.0,Napa,882,5680,1942,4,958,,Active,,,https://www.redfin.com/CA/Napa/2001-Marin-St-94559/home/12186545,BAREIS,326042022,N,Y,38.3047451,-122.2997574
MLS Listing,,Single Family Residential,454 S Minahen St,Napa,CA,94559,549999,3,1.0,Napa,1000,8712,1957,4,550,,Active,,,https://www.redfin.com/CA/Napa/454-S-Minahen-St-94559/home/12209559,MetroList,326041112,N,Y,38.2803284,-122.2954108
MLS Listing,,Single Family Residential,3200 Twin Oaks Dr,Napa,CA,94558,1482000,3,3.0,Napa,2093,12179,1985,5,708,,Active,,,https://www.redfin.com/CA/Napa/3200-Twin-Oaks-Dr-94558/home/12215612,BAREIS,326041722,N,Y,38.2959853,-122.3415953
MLS Listing,,Single Family Residential,149 E Lilienthal Ave,Napa,CA,94558,899000,2,2.0,Napa,1292,5998,1920,5,696,,Active,,,https://www.redfin.com/CA/Napa/149-Lilienthal-Ave-94558/home/12189092,BAREIS,326041711,N,Y,38.2892259,-122.312165
MLS Listing,,Single Family Residential,3571 Meadowbrook Dr,Napa,CA,94558,1050000,4,2.0,Napa,1584,7209,1971,5,663,,Active,,,https://www.redfin.com/CA/Napa/3571-Meadowbrook-Dr-94558/home/12215178,BAREIS,326041451,N,Y,38.3041147,-122.345114
MLS Listing,,Single Family Residential,6435 Dry Creek Rd,Napa,CA,94558,999000,1,1.0,Napa,840,943074,2004,5,1189,,Active,,,https://www.redfin.com/CA/Napa/6435-Dry-Creek-Rd-94558/home/12200134,BAREIS,326041694,N,Y,38.4081036,-122.4544291
MLS Listing,,Single Family Residential,2423 Shoreline Dr,Napa,CA,94558,939000,4,3.0,Napa,1999,7667,1983,5,470,,Active,,,https://www.redfin.com/CA/Napa/2423-Shoreline-Dr-94558/home/12210910,BAREIS,326041503,N,Y,38.3157314,-122.2786057
MLS Listing,,Vacant Land,1030 Arroyo Grande Dr,Napa,CA,94558,50000,,,Berryessa,,11587,,5,,,Active,,,https://www.redfin.com/CA/Napa/1030-Arroyo-Grande-Dr-94558/home/12198269,BAREIS,326041549,N,Y,38.5137743,-122.1866001
