SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,95 Mckennell Dr,Nashville,TN,37206,750000,3,2.0,Porter Heights,2021,,2016,2,371,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/95-McKennell-Dr-37206/home/112381443,Compass,2107000184255561137,N,Y,36.1929174,-86.7260106
MLS Listing,,Single Family Residential,6140 Chickering Ct,Nashville,TN,37215,6699000,6,8.5,Green Hills-Midtown,7848,,2026,3,854,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/6140-Chickering-Ct-37215/home/108090453,Compass,2106126048654605153,N,Y,36.0636136,-86.8560377
MLS Listing,,Single Family Residential,,Nashville,TN,37209,775000,4,3.5,,2622,,2026,4,296,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/Undisclosed-address-37209/home/195425925,Compass,2105450622173388481,N,Y,36.161574,-86.822365
MLS Listing,,Single Family Residential,,Nashville,TN,37209,775000,4,3.5,,2622,,2026,4,296,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/Undisclosed-address-37209/home/195425926,Compass,2105443127605867625,N,Y,36.1615535,-86.8223307
MLS Listing,,Single Family Residential,,Nashville,TN,37209,775000,4,3.5,,2622,,2026,4,296,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/Undisclosed-address-37209/home/108007310,Compass,2105428111645868233,N,Y,36.1615425,-86.8223283
MLS Listing,,Single Family Residential,8225 Canoe Ct,Nashville,TN,37221,579000,3,2.0,Bellevue,2045,,2001,5,283,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/8225-Canoe-Ct-37221/home/82008954,Compass,2104511800295102449,N,Y,36.088355,-87.0145527
MLS Listing,,Single Family Residential,5204 Village Trce,Nashville,TN,37211,400000,3,2.0,Villages of Brentwood,1188,,1992,5,337,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/5204-Village-Trce-37211/home/108093079,Compass,2103777591549049057,N,Y,36.0452772,-86.7353603
MLS Listing,,Condo/Co-op,542 Southgate Ave #213,Nashville,TN,37203,399900,1,1.0,Wedgewood-Houston,733,,2023,6,546,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/542-Southgate-Ave-37203/unit-213/home/178264414,Compass,2032136788965569593,N,Y,36.1366964,-86.7688195
MLS Listing,,Single Family Residential,4086 Lake Pkwy,Hermitage,TN,37076,450000,3,2.0,Lake Park,1778,22215,1972,6,253,,Pre On-Market,May-23-2026 02:00 PM,May-23-2026 04:00 PM,https://www.redfin.com/TN/Hermitage/4086-Lake-Pkwy-37076/home/107985867,REALTRACS as Distributed by MLS Grid,3207045,N,Y,36.1669596,-86.5870016
MLS Listing,,Single Family Residential,3601 Rainbow Pl,Nashville,TN,37204,2760000,4,4.0,Lipscomb,5133,,2024,7,538,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/3601-Rainbow-Pl-37204/home/108068876,Compass,2103197965714277073,N,Y,36.1079619,-86.7788303
MLS Listing,,Single Family Residential,917 Knox Ave,Nashville,TN,37204,3350000,4,3.5,Melrose,3959,,1933,7,846,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/917-Knox-Ave-37204/home/107980116,Compass,2084303247286628897,N,Y,36.1209397,-86.7855713
MLS Listing,,Vacant Land,625 W Trinity Ln,Nashville,TN,37207,4800000,0,,Haynes Area,,,,7,,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/625-W-Trinity-Ln-37207/home/172096750,Compass,2103082119075904233,N,Y,36.20737,-86.795136
MLS Listing,,Condo/Co-op,3509 Charlotte Ave #108,Nashville,TN,37209,765000,3,3.0,Sylvan Heights,1300,,,10,588,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/3509-Charlotte-Ave-37209/unit-108/home/194635962,Compass,2101014559521763825,N,Y,36.1524903,-86.8268209
MLS Listing,,Condo/Co-op,3509 Charlotte Ave #204,Nashville,TN,37209,945000,4,4.0,Sylvan Heights,1652,,,10,572,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/3509-Charlotte-Ave-37209/unit-204/home/194682109,Compass,2101014567210370729,N,Y,36.1524903,-86.8268209
MLS Listing,,Condo/Co-op,3509 Charlotte Ave #403,Nashville,TN,37209,1060000,4,4.0,Sylvan Heights,1652,,,10,642,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/3509-Charlotte-Ave-37209/unit-403/home/201764573,Compass,2101016596124689329,N,Y,36.1525488,-86.8267965
MLS Listing,,Condo/Co-op,3509 Charlotte Ave #501,Nashville,TN,37209,1530000,4,4.5,Sylvan Heights,2448,,,10,625,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/3509-Charlotte-Ave-37209/unit-501/home/194682491,Compass,2101016584376781537,N,Y,36.1524903,-86.8268209
MLS Listing,,Condo/Co-op,3509 Charlotte Ave #302,Nashville,TN,37209,925000,4,4.0,Sylvan Heights,1545,,,10,599,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/3509-Charlotte-Ave-37209/unit-302/home/201764507,Compass,2101014560524720985,N,Y,36.1525488,-86.8267965
MLS Listing,,Single Family Residential,2806 Elliott Dr,Old Hickory,TN,37138,329900,3,1.0,Dabbs & Elliott,1080,5227,1940,10,305,,Active,,,https://www.redfin.com/TN/Old-Hickory/2806-Elliott-Dr-37138/home/60680632,REALTRACS as Distributed by MLS Grid,3193972,N,Y,36.2463576,-86.6379652
