SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Townhouse,14 Glen Lake Dr,Pacific Grove,CA,93950,1198000,3,2.5,Pacific Grove,1663,1150,1987,4,720,700,Active,,,https://www.redfin.com/CA/Pacific-Grove/14-Glen-Lake-Dr-93950/home/14940916,MLSListings,ML82046774,N,Y,36.603825,-121.92432
MLS Listing,,Single Family Residential,888 Del Monte Blvd,Pacific Grove,CA,93950,7495000,7,4.0,PACIFIC GROVE,4555,17650,1941,6,1645,,Active,,,https://www.redfin.com/CA/Pacific-Grove/888-Del-Monte-Blvd-93950/home/14947287,MLSListings,ML82046862,N,Y,36.6297851,-121.9230845
MLS Listing,,Single Family Residential,512 12th St,Pacific Grove,CA,93950,1750000,3,2.5,PACIFIC GROVE,1950,3600,1966,6,897,,Active,,,https://www.redfin.com/CA/Pacific-Grove/512-12th-St-93950/home/14944675,MLSListings,ML82046799,N,Y,36.6164905,-121.9163067
MLS Listing,,Single Family Residential,215 Lobos Ave,Pacific Grove,CA,93950,1400000,2,1.0,PACIFIC GROVE,947,4200,1908,6,1478,,Active,,,https://www.redfin.com/CA/Pacific-Grove/215-Lobos-Ave-93950/home/14945564,MLSListings,ML82046792,N,Y,36.6221282,-121.9219234
MLS Listing,,Multi-Family (2-4 Unit),116 16th St,Pacific Grove,CA,93950,2639000,9,5.0,PACIFIC GROVE,4120,4200,1973,7,641,,Active,,,https://www.redfin.com/CA/Pacific-Grove/116-16th-St-93950/home/14946701,MLSListings,ML82046627,N,Y,36.6239156,-121.9173708
MLS Listing,,Single Family Residential,310 Cypress Ave,Pacific Grove,CA,93950,1400000,3,1.5,PACIFIC GROVE,1025,3600,1926,18,1366,,Active,,,https://www.redfin.com/CA/Pacific-Grove/310-Cypress-Ave-93950/home/14945896,MLSListings,ML82045187,N,Y,36.6204477,-121.9224887
MLS Listing,,Single Family Residential,313 14th St,Pacific Grove,CA,93950,995000,1,1.0,PACIFIC GROVE,631,1700,1920,26,1577,,Active,,,https://www.redfin.com/CA/Pacific-Grove/313-14th-St-93950/home/14945993,MLSListings,ML82043900,N,Y,36.618535,-121.9162127
MLS Listing,,Single Family Residential,1273 Surf Ave,Pacific Grove,CA,93950,5999000,4,3.5,PACIFIC GROVE,3282,7938,2001,32,1828,,Active,May-23-2026 01:00 PM,May-23-2026 03:00 PM,https://www.redfin.com/CA/Pacific-Grove/1273-Surf-Ave-93950/home/14947638,MLSListings,ML82043317,N,Y,36.6353764,-121.9310796
MLS Listing,,Single Family Residential,1207 Presidio Blvd,Pacific Grove,CA,93950,1649000,5,2.0,Pacific Grove,2061,8000,1953,38,800,,Active,,,https://www.redfin.com/CA/Pacific-Grove/1207-Presidio-Blvd-93950/home/14942107,MLSListings,ML82031868,N,Y,36.6017052,-121.9293763
MLS Listing,,Single Family Residential,775 Mermaid Ave,Pacific Grove,CA,93950,975000,1,1.0,PACIFIC GROVE,708,1400,1971,42,1377,,Active,,,https://www.redfin.com/CA/Pacific-Grove/775-Mermaid-Ave-93950/home/14947577,MLSListings,ML82041842,N,Y,36.6275932,-121.9213666
MLS Listing,,Single Family Residential,743 Marino Pines Rd,Pacific Grove,CA,93950,1899000,3,2.0,Pacific Grove,1657,7000,1955,44,1146,,Active,,,https://www.redfin.com/CA/Pacific-Grove/743-Marino-Pines-Rd-93950/home/14943522,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41129702,N,Y,36.6134088,-121.9259089
MLS Listing,,Single Family Residential,1046 Balboa Ave,Pacific Grove,CA,93950,1875000,3,2.5,PACIFIC GROVE,1772,5000,1940,65,1058,,Active,,,https://www.redfin.com/CA/Pacific-Grove/1046-Balboa-Ave-93950/home/14947920,MLSListings,ML82038715,N,Y,36.6329922,-121.9249393
MLS Listing,,Vacant Land,1015 Hillside,Pacific Grove,CA,93950,498000,,,PACIFIC GROVE,,4500,,69,,,Active,,,https://www.redfin.com/CA/Pacific-Grove/1015-Hillside-Ave-93950/home/14941051,MLSListings,ML82038032,N,Y,36.6029804,-121.9283136
MLS Listing,,Single Family Residential,311 Lobos Ave,Pacific Grove,CA,93950,1525000,2,2.0,PACIFIC GROVE,874,3400,1908,70,1745,,Active,,,https://www.redfin.com/CA/Pacific-Grove/311-Lobos-Ave-93950/home/14945625,MLSListings,ML82034336,N,Y,36.6204899,-121.9226635
MLS Listing,,Multi-Family (5+ Unit),1157 Forest Ave,Pacific Grove,CA,93950,2988000,,,PACIFIC GROVE,3259,22440,1982,73,917,,Active,,,https://www.redfin.com/CA/Pacific-Grove/1157-Forest-Ave-93950/home/200786626,MLSListings,ML82037573,N,Y,36.6060135,-121.9209858
MLS Listing,,Single Family Residential,516 8th St,Pacific Grove,CA,93950,980000,2,2.0,PACIFIC GROVE,853,2500,1946,74,1149,,Active,,,https://www.redfin.com/CA/Pacific-Grove/516-8th-St-93950/home/14944445,MLSListings,ML82037240,N,Y,36.6154771,-121.9133114
MLS Listing,,Single Family Residential,311 Lighthouse,Pacific Grove,CA,93950,1700000,4,2.0,PACIFIC GROVE,1836,6800,1957,80,926,,Active,,,https://www.redfin.com/CA/Pacific-Grove/311-Lighthouse-Ave-93950/home/193306219,MLSListings,ML82036600,N,Y,36.6188102,-121.9109756
