SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,2047 Paseo Almeria,Santa Barbara,CA,93103,1300000,2,3.0,Riviera,1922,,1974,1,676,,Pre On-Market,,,https://www.redfin.com/CA/Santa-Barbara/2047-Paseo-Almeria-93103/home/21604585,Compass,2108204249128023473,N,Y,34.4394954,-119.7071744
MLS Listing,,Single Family Residential,340 Old Mill Rd #82,Santa Barbara,CA,93110,850000,2,2.0,San Vincente,1811,3049,2014,1,469,,Active,,,https://www.redfin.com/CA/Santa-Barbara/340-Old-Mill-Rd-93110/unit-82/home/14990816,SBMLS,26-1630,N,Y,34.44566,-119.763677
MLS Listing,,Single Family Residential,4025 State St #10,Santa Barbara,CA,93110,350000,2,2.0,La Cumbre MHP,1436,2480,1973,1,244,,Active,,,https://www.redfin.com/CA/Santa-Barbara/4025-State-St-93110/unit-10/home/14989962,SBMLS,26-1627,N,Y,34.438497,-119.757571
MLS Listing,,Single Family Residential,1510 Franceschi Rd,Santa Barbara,CA,93103,4500000,3,3.0,SB/EAST OF STATE,3250,17859,1964,1,1385,,Pre On-Market,May-23-2026 02:00 PM,May-23-2026 04:00 PM,https://www.redfin.com/CA/Santa-Barbara/1510-Franceschi-Rd-93103/home/21605735,SBMLS,26-1624,N,Y,34.4408837,-119.6927065
MLS Listing,,Single Family Residential,405 E Figueroa St,Santa Barbara,CA,93101,1679000,2,2.0,15 or Downtown,932,6098,1915,1,1802,,Active,,,https://www.redfin.com/CA/Santa-Barbara/405-E-Figueroa-St-93101/home/21600371,SBMLS,26-1623,N,Y,34.4269778,-119.6986889
MLS Listing,,Single Family Residential,135 Pomar Ln,Santa Barbara,CA,93108,6385000,3,2.5,Hedgerow,2360,20473,1973,1,2706,,Active,,,https://www.redfin.com/CA/Santa-Barbara/135-Pomar-Ln-93108/home/21610549,SBMLS,26-1621,N,Y,34.4232959,-119.6264796
MLS Listing,,Multi-Family (2-4 Unit),124 Citrus Ave,Santa Barbara,CA,93103,1740000,4,2.0,Lower Eastside,1456,5227,1973,1,1195,,Pre On-Market,May-23-2026 10:00 AM,May-23-2026 12:00 PM,https://www.redfin.com/CA/Santa-Barbara/124-Citrus-Ave-93103/home/21607084,SBMLS,26-1620,N,Y,34.4278381,-119.6759127
MLS Listing,,Condo/Co-op,1307 Clifton St #B,Santa Barbara,CA,93103,1150000,2,1.5,SB/EAST OF STATE,1185,871,1981,3,970,,Active,,,https://www.redfin.com/CA/Santa-Barbara/1307-Clifton-St-93103/unit-B/home/21605702,SBMLS,26-1617,N,Y,34.4260067,-119.6739271
MLS Listing,,Multi-Family (2-4 Unit),308 W De la Guerra St,Santa Barbara,CA,93101,1995000,4,4.0,15 or Downtown,2012,2178,1940,3,992,,Active,,,https://www.redfin.com/CA/Santa-Barbara/308-W-De-la-Guerra-St-93101/home/21597655,SBMLS,26-1616,N,Y,34.4161881,-119.7032401
